School_ID,NAME_OF_SCHOOL,"Elementary, Middle, or High School",Street_Address,City,State,ZIP_Code,Phone_Number,Network_Manager,Collaborative_Name,Adequate_Yearly_Progress_Made_,Track_Schedule,CPS_Performance_Policy_Status,CPS_Performance_Policy_Level,HEALTHY_SCHOOL_CERTIFIED,Safety_Icon,SAFETY_SCORE
610038,Abraham Lincoln Elementary School,ES,615 W Kemper Pl,Chicago,IL,60614,(773) 534-5720,Fullerton Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,No,Standard,Not on Probation,Level 1,Yes,Very Strong,99
610281,Adam Clayton Powell Paideia Community Academy Elementary School,ES,7511 S South Shore Dr,Chicago,IL,60649,(773) 535-6650,Skyway Elementary Network,SOUTH SIDE COLLABORATIVE,No,Track_E,Not on Probation,Level 1,No,Average,54
610185,Adlai E Stevenson Elementary School,ES,8010 S Kostner Ave,Chicago,IL,60652,(773) 535-2280,Midway Elementary Network,SOUTHWEST SIDE COLLABORATIVE,No,Standard,Not on Probation,Level 2,No,Strong,61
609993,Agustin Lara Elementary Academy,ES,4619 S Wolcott Ave,Chicago,IL,60609,(773) 535-4389,Pershing Elementary Network,SOUTHWEST SIDE COLLABORATIVE,No,Track_E,Not on Probation,Level 1,No,Average,56
610513,Air Force Academy High School,HS,3630 S Wells St,Chicago,IL,60609,(773) 535-1590,Southwest Side High School Network,SOUTHWEST SIDE COLLABORATIVE,NDA,Standard,Not on Probation,Not Enough Data,Yes,Average,49
610212,Albany Park Multicultural Academy,MS,4929 N Sawyer Ave,Chicago,IL,60625,(773) 534-5108,O'Hare Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Yes,Standard,Not on Probation,Level 1,No,Strong,66
609720,Albert G Lane Technical High School,HS,2501 W Addison St,Chicago,IL,60618,(773) 534-5400,North-Northwest Side High School Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Yes,Standard,Not on Probation,Level 1,No,Very Strong,88
610342,Albert R Sabin Elementary Magnet School,ES,2216 W Hirsch St,Chicago,IL,60622,(773) 534-4491,Fulton Elementary Network,WEST SIDE COLLABORATIVE,No,Standard,Probation,Level 3,No,Strong,67
610524,Alcott High School for the Humanities,HS,2957 N Hoyne Ave,Chicago,IL,60618,(773) 534-5979,North-Northwest Side High School Network,NORTH-NORTHWEST SIDE COLLABORATIVE,NDA,Standard,Not on Probation,Not Enough Data,No,Strong,70
610209,Alessandro Volta Elementary School,ES,4950 N Avers Ave,Chicago,IL,60625,(773) 534-5080,O'Hare Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,No,Track_E,Not on Probation,Level 2,No,Average,43
609799,Alexander Graham Bell Elementary School,ES,3730 N Oakley Ave,Chicago,IL,60618,(773) 534-5150,Ravenswood-Ridge Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,No,Standard,Not on Probation,Level 1,No,Very Strong,99
609947,Alexander Graham Elementary School,ES,4436 S Union Ave,Chicago,IL,60609,(773) 535-1308,Pershing Elementary Network,SOUTHWEST SIDE COLLABORATIVE,No,Standard,Not on Probation,Level 2,No,Average,49
609963,Alexander Hamilton Elementary School,ES,1650 W Cornelia Ave,Chicago,IL,60657,(773) 534-5484,Ravenswood-Ridge Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,No,Standard,Not on Probation,Level 2,No,Strong,73
610210,Alexander von Humboldt Elementary School,ES,2620 W Hirsch St,Chicago,IL,60622,(773) 534-4480,Fulton Elementary Network,WEST SIDE COLLABORATIVE,No,Standard,Probation,Level 3,No,Weak,31
609808,Alex Haley Elementary Academy,ES,11411 S Eggleston Ave,Chicago,IL,60628,(773) 535-5340,Rock Island Elementary Network,FAR SOUTH SIDE COLLABORATIVE,No,Standard,Not on Probation,Level 2,No,Weak,28
610028,Alfred David Kohn Elementary School,ES,10414 S State St,Chicago,IL,60628,(773) 535-5489,Rock Island Elementary Network,FAR SOUTH SIDE COLLABORATIVE,No,Track_E,Probation,Level 3,No,Very Weak,19
610098,Alfred Nobel Elementary School,ES,4127 W Hirsch St,Chicago,IL,60651,(773) 534-4365,Garfield-Humboldt Elementary Network,WEST SIDE COLLABORATIVE,No,Track_E,Not on Probation,Level 2,No,Weak,37
609788,Alice L Barnard Computer Math & Science Center Elementary School,ES,10354 S Charles St,Chicago,IL,60643,(773) 535-2625,Rock Island Elementary Network,FAR SOUTH SIDE COLLABORATIVE,No,Track_E,Not on Probation,Level 1,No,Average,46
610334,Al Raby High School,HS,3545 W Fulton Blvd,Chicago,IL,60624,(773) 534-6755,West Side High School Network,WEST SIDE COLLABORATIVE,No,Track_E,Probation,Level 3,No,Average,52
610131,Ambrose Plamondon Elementary School,ES,2642 W 15th Pl,Chicago,IL,60608,(773) 534-1789,Austin-North Lawndale Elementary Network,WEST SIDE COLLABORATIVE,No,Track_E,Not on Probation,Level 2,No,Average,45
610316,Amelia Earhart Options for Knowledge Elementary School,ES,1710 E 93rd St,Chicago,IL,60617,(773) 535-6416,Skyway Elementary Network,SOUTH SIDE COLLABORATIVE,Yes,Track_E,Not on Probation,Level 2,No,Very Strong,81
609780,Ames Middle School,MS,1920 N Hamlin Ave,Chicago,IL,60647,(773) 534-4970,Fullerton Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,No,Standard,Probation,Level 2,No,Weak,38
610339,Amos Alonzo Stagg Elementary School,ES,7424 S Morgan St,Chicago,IL,60621,(773) 535-3565,Englewood-Gresham Elementary Network,SOUTHWEST SIDE COLLABORATIVE,No,Track_E,Probation,Level 3,No,Weak,23
610320,Ana Roque de Duprey Elementary School,ES,2620 W Hirsch St,Chicago,IL,60622,(773) 534-4230,Fulton Elementary Network,WEST SIDE COLLABORATIVE,No,Standard,Probation,Level 2,Yes,Average,57
609837,Andrew Carnegie Elementary School,ES,1414 E 61st Pl,Chicago,IL,60637,(773) 535-0530,Burnham Park Elementary Network,SOUTH SIDE COLLABORATIVE,No,Standard,Probation,Level 3,No,Average,48
610060,Andrew Jackson Elementary Language Academy,ES,1340 W Harrison St,Chicago,IL,60607,(773) 534-7000,Fulton Elementary Network,WEST SIDE COLLABORATIVE,Yes,Standard,Not on Probation,Level 1,No,Very Strong,86
609869,Anna R. Langford Community Academy,ES,6010 S Throop St,Chicago,IL,60636,(773) 535-9180,Englewood-Gresham Elementary Network,SOUTHWEST SIDE COLLABORATIVE,No,Track_E,Probation,Level 2,No,Weak,31
610084,Annie Keller Elementary Gifted Magnet School,ES,3020 W 108th St,Chicago,IL,60655,(773) 535-2636,Rock Island Elementary Network,FAR SOUTH SIDE COLLABORATIVE,Yes,Standard,Not on Probation,Level 1,No,Very Strong,99
610229,A.N. Pritzker School,ES,2009 W Schiller St,Chicago,IL,60622,(773) 534-4415,Fulton Elementary Network,WEST SIDE COLLABORATIVE,No,Standard,Not on Probation,Level 1,No,Average,59
610277,Anthony Overton Elementary School,ES,221 E 49th St,Chicago,IL,60615,(773) 535-1430,Burnham Park Elementary Network,SOUTH SIDE COLLABORATIVE,No,Track_E,Probation,Level 3,No,Weak,32
609951,Ariel Elementary Community Academy,ES,1119 E 46th St,Chicago,IL,60653,(773) 535-1996,Burnham Park Elementary Network,SOUTH SIDE COLLABORATIVE,No,Standard,Not on Probation,Level 2,No,NDA,
610161,Arna Wendell Bontemps Elementary School,ES,1241 W 58th St,Chicago,IL,60636,(773) 535-9175,Englewood-Gresham Elementary Network,SOUTHWEST SIDE COLLABORATIVE,No,Track_E,Probation,Level 3,No,Weak,33
610171,Arnold Mireles Elementary Academy,ES,9000 S Exchange Ave,Chicago,IL,60617,(773) 535-6360,Skyway Elementary Network,SOUTH SIDE COLLABORATIVE,No,Track_E,Probation,Level 3,No,Weak,27
